folio,tag,meta_left,scribal,line_text,word_index,original_word,cleaned_word,unified_word,has_markup,ambiguity_notes
f85r1,f85r1.P.21;H,f85r1.P.21,H,daiin.cheody.oraiin.ol.okaiin.cheocthey.olor.otedy.qotaiin.chor.chedy,1,daiin.cheody.oraiin.ol.okaiin.cheocthey.olor.otedy.qotaiin.chor.chedy,daiin.cheody.oraiin.ol.okaiin.cheocthey.olor.otedy.qotaiin.chor.chedy,daiin.cheody.oraiin.ol.okaiin.cheocthey.olor.otedy.qotaiin.chor.chedy,False,many_dots
f85r1,f85r1.P.22;H,f85r1.P.22,H,ydair.tar.chedy.oraiin.ychedy.okedy,1,ydair.tar.chedy.oraiin.ychedy.okedy,ydair.tar.chedy.oraiin.ychedy.okedy,ydair.tar.chedy.oraiin.ychedy.okedy,False,many_dots
f85r1,f85r1.P.23;H,f85r1.P.23,H,pchdaiin.shodaiin.shofshedy.yteody.ypar.ches.aiin.chol.dy.qopar.shetam,1,pchdaiin.shodaiin.shofshedy.yteody.ypar.ches.aiin.chol.dy.qopar.shetam,pchdaiin.shodaiin.shofshedy.yteody.ypar.ches.aiin.chol.dy.qopar.shetam,pchdaiin.shodaiin.shofshedy.yteody.ypar.ches.aiin.chol.dy.qopar.shetam,False,many_dots
f85r1,f85r1.P.24;H,f85r1.P.24,H,tedair.ykeedy.dain.cheedy.qokor.chedy.okar.sheekchy.qokedy.olchedy,1,tedair.ykeedy.dain.cheedy.qokor.chedy.okar.sheekchy.qokedy.olchedy,tedair.ykeedy.dain.cheedy.qokor.chedy.okar.sheekchy.qokedy.olchedy,tedair.ykeedy.dain.cheedy.qokor.chedy.okar.sheekchy.qokedy.olchedy,False,many_dots
f85r1,f85r1.P.25;H,f85r1.P.25,H,schedaiir.oteody.chcthdy.qokaiin.ykchedy,1,schedaiir.oteody.chcthdy.qokaiin.ykchedy,schedaiir.oteody.chcthdy.qokaiin.ykchedy,schedaiir.oteody.chcthdy.qokaiin.ykchedy,False,many_dots
f85r1,f85r1.P.26;H,f85r1.P.26,H,pchdairor.shshdar.qopchedy.opchdy.qofchdy.dar.s.ain.chcphdy.darordaiin,1,pchdairor.shshdar.qopchedy.opchdy.qofchdy.dar.s.ain.chcphdy.darordaiin,pchdairor.shshdar.qopchedy.opchdy.qofchdy.dar.s.ain.chcphdy.darordaiin,pchdairor.shshdar.qopchedy.opchdy.qofchdy.dar.s.ain.chcphdy.darordaiin,False,many_dots
f85r1,f85r1.P.27;H,f85r1.P.27,H,ychedy.shetshdy.qotar.okedy.qokal.saiin.ol.karar.odeeed,1,ychedy.shetshdy.qotar.okedy.qokal.saiin.ol.karar.odeeed,ychedy.shetshdy.qotar.okedy.qokal.saiin.ol.karar.odeeed,ychedy.shetshdy.qotar.okedy.qokal.saiin.ol.karar.odeeed,False,many_dots
f85r1,f85r1.P.28;H,f85r1.P.28,H,kchedar.yteol.okchdy.qekedy.otor.odor.or.chedy.otechdy.dal.cphedy,1,kchedar.yteol.okchdy.qekedy.otor.odor.or.chedy.otechdy.dal.cphedy,kchedar.yteol.okchdy.qekedy.otor.odor.or.chedy.otechdy.dal.cphedy,kchedar.yteol.okchdy.qekedy.otor.odor.or.chedy.otechdy.dal.cphedy,False,many_dots
f85r1,f85r1.P.29;H,f85r1.P.29,H,oees.aiin.olkeeody.ors.cheey.qokchdy.qotol.okar.otar.otchy.dkam,1,oees.aiin.olkeeody.ors.cheey.qokchdy.qotol.okar.otar.otchy.dkam,oees.aiin.olkeeody.ors.cheey.qokchdy.qotol.okar.otar.otchy.dkam,oees.aiin.olkeeody.ors.cheey.qokchdy.qotol.okar.otar.otchy.dkam,False,many_dots
f85r1,f85r1.P.29a;H,f85r1.P.29a,H,dorchdy.osaiin.okedes.chcthy.okedy.chdy.chdy.otal.otchdy.otalom,1,dorchdy.osaiin.okedes.chcthy.okedy.chdy.chdy.otal.otchdy.otalom,dorchdy.osaiin.okedes.chcthy.okedy.chdy.chdy.otal.otchdy.otalom,dorchdy.osaiin.okedes.chcthy.okedy.chdy.chdy.otal.otchdy.otalom,False,many_dots
f85r1,f85r1.P.30;H,f85r1.P.30,H,podaiin.shdar.ypchdar.dar.ypchdy.qopol.dar.keshor.dchdal.cholairy,1,podaiin.shdar.ypchdar.dar.ypchdy.qopol.dar.keshor.dchdal.cholairy,podaiin.shdar.ypchdar.dar.ypchdy.qopol.dar.keshor.dchdal.cholairy,podaiin.shdar.ypchdar.dar.ypchdy.qopol.dar.keshor.dchdal.cholairy,False,many_dots
f85r1,f85r1.P.31;H,f85r1.P.31,H,ytor.chol.shdytody.qotchdy.otchol.chees.ar.eeodaiin.or.aral.alkam,1,ytor.chol.shdytody.qotchdy.otchol.chees.ar.eeodaiin.or.aral.alkam,ytor.chol.shdytody.qotchdy.otchol.chees.ar.eeodaiin.or.aral.alkam,ytor.chol.shdytody.qotchdy.otchol.chees.ar.eeodaiin.or.aral.alkam,False,many_dots
f85r1,f85r1.P.32;H,f85r1.P.32,H,raraiiin.shey.osaiin.otar.ytar.otedy.or.aiin.otar.alar.olkeedy,1,raraiiin.shey.osaiin.otar.ytar.otedy.or.aiin.otar.alar.olkeedy,raraiiin.shey.osaiin.otar.ytar.otedy.or.aiin.otar.alar.olkeedy,raraiiin.shey.osaiin.otar.ytar.otedy.or.aiin.otar.alar.olkeedy,False,many_dots
